faze-vs-ence-dust2.out
de_dust2
KILL/!broky /!47.904,107.930/!ak47/!Jamppi/!87.922,110.022
DMG/!broky /!47.904,107.930/!ak47/!Jamppi/!87.922,110.022/!25
DMG/!Aerial/!88.759,109.683/!ak47/!broky /!47.903,107.927/!25
DMG/!sergej/!89.738,109.466/!ak47/!broky /!47.903,107.928/!31
DMG/!broky /!47.904,107.909/!ak47/!Aerial/!88.757,109.750/!25
DMG/!sergej/!89.748,109.200/!ak47/!broky /!47.903,107.926/!20
DMG/!Aerial/!88.752,109.868/!ak47/!broky /!47.902,107.954/!25
KILL/!Aerial/!88.752,109.868/!ak47/!broky /!47.902,107.954
DMG/!rain /!68.962,106.961/!ak47/!Aerial/!89.920,111.918/!106
KILL/!rain /!68.962,106.961/!ak47 HS/!Aerial/!89.920,111.918
DMG/!sergej/!90.836,111.211/!ak47/!rain /!68.962,106.961/!106
KILL/!sergej/!90.836,111.211/!ak47 HS/!rain /!68.962,106.961
DMG/!Bymas/!83.790,117.581/!m4a1/!sergej/!86.477,112.695/!28
DMG/!sergej/!86.501,112.709/!ak47/!Bymas/!83.828,117.601/!34
DMG/!Bymas/!83.885,117.633/!m4a1/!sergej/!86.550,112.737/!22
DMG/!Bymas/!83.848,117.613/!m4a1/!sergej/!86.601,112.768/!22
DMG/!sergej/!86.648,112.798/!ak47/!Bymas/!83.833,117.604/!27
DMG/!Bymas/!83.833,117.604/!m4a1/!sergej/!86.659,112.804/!90
KILL/!Bymas/!83.833,117.604/!m4a1 HS/!sergej/!86.659,112.804
DMG/!Bymas/!83.763,117.572/!m4a1/!allu/!91.227,98.950/!21
DMG/!Bymas/!83.728,117.558/!m4a1/!allu/!91.196,98.937/!27
DMG/!Bymas/!83.692,117.542/!m4a1/!allu/!91.050,98.875/!23
DMG/!Bymas/!83.697,117.545/!m4a1/!allu/!90.989,98.849/!27
DMG/!Bymas/!83.697,117.545/!m4a1/!allu/!90.918,98.835/!21
KILL/!Bymas/!83.697,117.545/!m4a1/!allu/!90.918,98.835
DMG/!suNny/!51.960,107.925/!ak47/!coldzera /!40.672,109.307/!26
DMG/!suNny/!51.960,107.925/!ak47/!coldzera /!41.064,109.222/!34
DMG/!suNny/!51.960,107.925/!ak47/!coldzera /!41.348,109.144/!27
DMG/!suNny/!51.960,107.925/!ak47/!coldzera /!41.350,109.111/!27
KILL/!suNny/!51.960,107.925/!ak47/!coldzera /!41.350,109.111
DMG/!suNny/!91.563,102.136/!ak47/!Bymas/!84.598,127.072/!105
KILL/!suNny/!91.563,102.136/!ak47 HS/!Bymas/!84.598,127.072
DMG/!NiKo /!88.128,112.346/!awp/!Aerial/!75.554,108.120/!85
DMG/!unnamed/!NAN/!/!Aerial/!75.975,108.069/!15
KILL/!unnamed/!NAN/!worldspawn/!Aerial/!75.975,108.069
DMG/!suNny/!54.015,107.588/!ak47/!coldzera /!46.982,108.387/!27
KILL/!suNny/!54.017,107.607/!ak47 HS/!coldzera /!46.986,108.428
DMG/!suNny/!54.017,107.607/!ak47/!coldzera /!46.986,108.428/!110
DMG/!suNny/!52.506,105.955/!ak47/!rain /!77.011,112.904/!26
DMG/!suNny/!52.508,105.949/!ak47/!rain /!77.011,112.904/!26
DMG/!suNny/!52.513,105.930/!ak47/!rain /!77.011,112.904/!26
DMG/!rain /!77.011,112.904/!m4a1/!suNny/!52.521,105.903/!21
DMG/!suNny/!52.522,105.898/!ak47/!rain /!77.011,112.904/!18
DMG/!rain /!77.011,112.904/!m4a1/!suNny/!52.530,105.872/!21
DMG/!rain /!77.014,112.893/!m4a1/!suNny/!52.613,105.572/!21
DMG/!rain /!77.014,112.893/!m4a1/!suNny/!52.634,105.513/!22
DMG/!rain /!77.014,112.893/!m4a1/!suNny/!52.643,105.490/!26
KILL/!rain /!77.014,112.893/!m4a1/!suNny/!52.643,105.490
DMG/!broky /!24.823,100.434/!m4a1/!allu/!25.117,88.873/!89
DMG/!allu/!25.114,88.873/!awp/!broky /!24.820,100.417/!138
KILL/!allu/!25.114,88.873/!awp/!broky /!24.820,100.417
DMG/!NiKo /!25.207,88.482/!awp/!sergej/!24.778,104.989/!110
KILL/!NiKo /!25.207,88.482/!awp/!sergej/!24.778,104.989
DMG/!Bymas/!51.837,107.705/!ak47/!allu/!32.615,111.222/!16
KILL/!Bymas/!51.837,107.705/!ak47 WB/!allu/!32.615,111.222
DMG/!Jamppi/!31.608,121.867/!ak47/!rain /!25.110,103.276/!33
KILL/!Jamppi/!31.608,121.867/!ak47/!rain /!25.110,103.276
DMG/!Jamppi/!35.547,121.299/!ak47/!NiKo /!23.333,104.164/!33
DMG/!Jamppi/!35.611,121.253/!ak47/!NiKo /!23.343,104.185/!26
KILL/!NiKo /!23.403,104.142/!ak47 HS/!Jamppi/!35.645,121.228
DMG/!NiKo /!23.403,104.142/!ak47/!Jamppi/!35.645,121.228/!106
DMG/!allu/!55.232,51.653/!awp/!broky /!53.149,110.642/!69
DMG/!rain /!59.043,106.453/!m4a1/!Jamppi/!44.234,111.991/!87
DMG/!rain /!59.043,106.453/!m4a1/!Jamppi/!44.232,111.990/!21
KILL/!rain /!59.043,106.453/!m4a1/!Jamppi/!44.232,111.990
DMG/!rain /!59.025,106.453/!m4a1/!Aerial/!38.028,119.132/!22
DMG/!rain /!59.025,106.453/!m4a1/!Aerial/!38.033,119.224/!26
DMG/!rain /!59.025,106.453/!m4a1/!Aerial/!38.009,119.295/!21
DMG/!rain /!59.025,106.453/!m4a1/!Aerial/!37.994,119.335/!21
DMG/!rain /!59.025,106.453/!m4a1/!Aerial/!37.993,119.338/!21
KILL/!rain /!59.025,106.453/!m4a1/!Aerial/!37.993,119.338
DMG/!suNny/!73.002,114.280/!ak47/!NiKo /!74.525,107.919/!27
