faze-vs-ence-mirage.out
de_mirage
DMG/!broky /!62.524,29.092/!ak47/!sergej/!56.413,37.320/!27
KILL/!broky /!62.524,29.092/!ak47/!sergej/!56.413,37.320
DMG/!suNny/!52.329,37.609/!m4a1/!broky /!62.629,29.097/!88
DMG/!suNny/!52.335,37.617/!m4a1/!broky /!62.619,29.097/!22
KILL/!suNny/!52.335,37.617/!m4a1/!broky /!62.619,29.097
DMG/!rain /!60.632,32.724/!galilar/!suNny/!52.412,37.729/!22
KILL/!rain /!60.632,32.724/!galilar/!suNny/!52.412,37.729
DMG/!allu/!40.431,19.409/!awp/!rain /!63.623,30.484/!136
KILL/!allu/!40.431,19.409/!awp/!rain /!63.623,30.484
DMG/!Aerial/!52.887,36.506/!ump45/!NiKo /!53.983,36.560/!27
DMG/!Aerial/!52.944,36.412/!ump45/!NiKo /!53.970,36.581/!22
DMG/!NiKo /!53.972,36.626/!ak47/!Aerial/!52.949,36.456/!27
DMG/!Aerial/!52.951,36.506/!ump45/!NiKo /!53.975,36.656/!22
DMG/!NiKo /!53.985,36.688/!ak47/!Aerial/!52.953,36.547/!27
DMG/!NiKo /!54.005,36.725/!ak47/!Aerial/!52.951,36.487/!27
DMG/!NiKo /!54.029,36.762/!ak47/!Aerial/!52.954,36.427/!27
KILL/!NiKo /!54.029,36.762/!ak47/!Aerial/!52.954,36.427
DMG/!NiKo /!54.284,36.591/!ak47/!Jamppi/!47.035,37.395/!27
DMG/!NiKo /!54.284,36.585/!ak47/!Jamppi/!47.038,37.318/!27
DMG/!Jamppi/!47.040,37.352/!awp/!NiKo /!54.285,36.597/!111
KILL/!Jamppi/!47.040,37.352/!awp/!NiKo /!54.285,36.597
DMG/!coldzera /!62.337,57.720/!inferno/!suNny/!49.624,45.148/!1
DMG/!Aerial/!18.098,75.282/!hegrenade/!broky /!44.063,78.091/!3
DMG/!Aerial/!18.098,75.282/!hegrenade/!NiKo /!38.541,80.995/!79
DMG/!Jamppi/!46.009,68.526/!awp/!rain /!28.138,78.384/!109
KILL/!Jamppi/!46.009,68.526/!awp/!rain /!28.138,78.384
DMG/!Aerial/!24.172,73.091/!ump45/!Bymas/!24.436,81.650/!22
